project_uuid,workspace_uuid,created_at,updated_at,name,full_address,address_1,address_2,city,state,postal_code,country,lat,lng,investment_strategy,stage,type,style,square_feet,beds,baths,year_built,featured_image_url,permissions_json
d718a1aa-5c9a-4981-bd3d-5ef4abb73cf8,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-11-11T21:35:41Z,2026-06-10T18:37:53Z,5551 Timber Hill Road,"5551 Timber Hill Road, Birmingham, AL 35242",5551 Timber Hill Road,,Birmingham,AL,35242,US,33.354691,-86.7317072,fix_and_flip,completed_portfolio,Single Family,,3818,4,3,1989,https://tools.flipperforce.com/uploads/projects/105286/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
f5c5e249-ecc7-4d37-9528-137256758f78,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-06-10T18:11:51Z,2026-06-10T18:11:54Z,4676 Fairway Drive,"4676 Fairway Drive, Pinson, AL 35126",4676 Fairway Drive,,Pinson,AL,35126,US,33.7780639,-86.6667144,fix_and_flip,contacting_seller,Single Family Residence,,1512,3,2,1975,https://tools.flipperforce.com/uploads/projects/117201/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
c4abe550-57a9-4058-8cd6-0bf68dccd656,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-05-29T16:23:55Z,2026-06-09T21:05:30Z,1118 Hale Circle,"1118 Hale Circle, Center Point, AL 35215",1118 Hale Circle,,Center Point,AL,35215,US,33.6502374,-86.6629737,fix_and_flip,offer_made,Single Family Residence,,1974,2,2,1993,https://tools.flipperforce.com/uploads/projects/116456/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
0243bb92-ae3f-4a05-81bf-c32e450dedfd,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-06-09T12:41:25Z,2026-06-09T17:00:48Z,515 Karey Drive,"515 Karey Drive, Center Point, AL 35215",515 Karey Drive,,Center Point,AL,35215,US,33.6290068,-86.6721855,fix_and_flip,offer_made,"Service Shop (Tv, Radio, Electric, Plumbing)",,3358,3,2,1969,https://tools.flipperforce.com/uploads/projects/117069/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
ce4ef339-5ce5-4b05-aa49-d23b1c0e6832,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-06-08T15:43:13Z,2026-06-09T17:00:45Z,7161 Roper Road,"7161 Roper Road, Trussville, AL 35173",7161 Roper Road,,Trussville,AL,35173,US,33.6129934,-86.5799616,fix_and_flip,offer_made,Single Family Residence,,1814,3,2,1978,https://tools.flipperforce.com/uploads/projects/117002/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
f3d4431e-1cc1-4a5e-a0a4-fff4c330d49e,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-05-01T18:32:45Z,2026-06-05T13:30:24Z,2157 Parsons Drive,"2157 Parsons Drive, Moody, AL 35004",2157 Parsons Drive,,Moody,AL,35004,US,33.5727589,-86.5065762,fix_and_flip,under_construction,Single Family Residence,,1948,,1,2006,https://tools.flipperforce.com/uploads/projects/114906/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
6ec24922-6e4d-4aa3-ad83-c83755ba691a,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-06-03T15:44:01Z,2026-06-03T15:44:03Z,4320 Corinth Drive,"4320 Corinth Drive, Birmingham, AL 35213",4320 Corinth Drive,,Birmingham,AL,35213,US,33.5135425,-86.7154645,fix_and_flip,pending_purchase,Single Family Residence,,4900,6,5,1969,https://tools.flipperforce.com/uploads/projects/116713/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
04f26529-dc7c-4231-a316-eb7dc0e7cda9,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-11-04T19:17:06Z,2026-06-03T15:43:10Z,5337 Pineneedle Drive,"5337 Pineneedle Drive, Gardendale, AL 35071",5337 Pineneedle Drive,,Gardendale,AL,35071,US,33.6565793,-86.788161,fix_and_flip,pending_purchase,Single Family,,2943,4,4,1999,https://tools.flipperforce.com/uploads/projects/104816/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
9cb8369d-bf9c-4e42-a36f-05acd9de194c,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-06T17:23:11Z,2026-06-03T15:41:38Z,112 White Cap Circle,"112 White Cap Circle, Alabaster, AL 35007",112 White Cap Circle,,Alabaster,AL,35007,US,33.2628784,-86.8279001,fix_and_flip,active_listing,Single Family Residence,,2136,3,3,1976,https://tools.flipperforce.com/uploads/projects/110122/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
199b7da4-951f-4017-9592-20b744b63bb2,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-06T17:24:33Z,2026-06-03T15:41:21Z,2825 2nd Way Northwest,"2825 2nd Way Northwest, Center Point, AL 35215",2825 2nd Way Northwest,,Center Point,AL,35215,US,33.6591248,-86.6908245,fix_and_flip,active_listing,Single Family Residence,,1528,3,2,1966,https://tools.flipperforce.com/uploads/projects/110123/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
