account,property_name,amount
Cleaning services,10 Anderson Mtn Dr,525
Dumpsters,10 Anderson Mtn Dr,1978.32
Earnest money,10 Anderson Mtn Dr,3750
Interest Payment,10 Anderson Mtn Dr,25862.5
Labor,10 Anderson Mtn Dr,52538
Materials,10 Anderson Mtn Dr,43911.57
Property Insurance,10 Anderson Mtn Dr,4626.26
Property Purchase,10 Anderson Mtn Dr,77483.58
Property taxes,10 Anderson Mtn Dr,1600.2
Staging and Interiors,10 Anderson Mtn Dr,3650
Third Party Vendors,10 Anderson Mtn Dr,36141.48
Utilities,10 Anderson Mtn Dr,5979.15
Total for Expenses,10 Anderson Mtn Dr,258046.06000000006
Net Operating Income,10 Anderson Mtn Dr,-258046.06000000006
Net Income,10 Anderson Mtn Dr,-258046.06000000006
Labor,1006 Belcher Ferry Rd,12500
Materials,1006 Belcher Ferry Rd,12662.97
Third Party Vendors,1006 Belcher Ferry Rd,12632
Utilities,1006 Belcher Ferry Rd,439.31
Total for Expenses,1006 Belcher Ferry Rd,38234.28
Net Operating Income,1006 Belcher Ferry Rd,-38234.28
Net Income,1006 Belcher Ferry Rd,-38234.28
Sale of property,1008 Mtn. Oaks Dr.,333772.55
Total for Income,1008 Mtn. Oaks Dr.,333772.55
Gross Profit,1008 Mtn. Oaks Dr.,333772.55
Cleaning services,1008 Mtn. Oaks Dr.,200
Dumpsters,1008 Mtn. Oaks Dr.,2017.47
Earnest money,1008 Mtn. Oaks Dr.,5000
Equipment,1008 Mtn. Oaks Dr.,996.2
Labor,1008 Mtn. Oaks Dr.,27796.19
Materials,1008 Mtn. Oaks Dr.,11304.02
Permits,1008 Mtn. Oaks Dr.,1632.25
Property Purchase,1008 Mtn. Oaks Dr.,156450.45
Third Party Vendors,1008 Mtn. Oaks Dr.,52851.94
Utilities,1008 Mtn. Oaks Dr.,551.37
Total for Expenses,1008 Mtn. Oaks Dr.,258799.89
Net Operating Income,1008 Mtn. Oaks Dr.,74972.65999999997
Net Income,1008 Mtn. Oaks Dr.,74972.65999999997
Sale of property,1008 Springhill Ln,901924.27
Total for Income,1008 Springhill Ln,901924.27
Gross Profit,1008 Springhill Ln,901924.27
Automobile Expense,1008 Springhill Ln,234.32
Cleaning services,1008 Springhill Ln,850
Consulting fee,1008 Springhill Ln,3302.75
Dumpsters,1008 Springhill Ln,12546.8
HOA Fees,1008 Springhill Ln,116.85
Interest Payment,1008 Springhill Ln,29894.86
Labor,1008 Springhill Ln,143940
Materials,1008 Springhill Ln,198683.05
Professional Fees,1008 Springhill Ln,2500
Property Insurance,1008 Springhill Ln,3043.5
Property Purchase,1008 Springhill Ln,100805.76
Staging and Interiors,1008 Springhill Ln,6599.43
Third Party Vendors,1008 Springhill Ln,128250.94
Utilities,1008 Springhill Ln,8628.97
Total for Expenses,1008 Springhill Ln,639397.23
Net Operating Income,1008 Springhill Ln,262527.04000000004
Net Income,1008 Springhill Ln,262527.04000000004
Sale of property,1014 Mtn. Laurel Cir.,181802.97
Total for Income,1014 Mtn. Laurel Cir.,181802.97
Gross Profit,1014 Mtn. Laurel Cir.,181802.97
Dumpsters,1014 Mtn. Laurel Cir.,2291.75
Labor,1014 Mtn. Laurel Cir.,32350
Materials,1014 Mtn. Laurel Cir.,26771.11
Payroll,1014 Mtn. Laurel Cir.,20.28
Property Insurance,1014 Mtn. Laurel Cir.,1686
Property Purchase,1014 Mtn. Laurel Cir.,181183.67
Third Party Vendors,1014 Mtn. Laurel Cir.,14913.76
Total for Expenses,1014 Mtn. Laurel Cir.,259216.57
Net Operating Income,1014 Mtn. Laurel Cir.,-77413.6
Net Income,1014 Mtn. Laurel Cir.,-77413.6
Business License,1017 Burnt Pine Ln,139.34
Cleaning services,1017 Burnt Pine Ln,260
Dumpsters,1017 Burnt Pine Ln,3069.99
Interest Payment,1017 Burnt Pine Ln,2059.77
Labor,1017 Burnt Pine Ln,28000
Materials,1017 Burnt Pine Ln,25156.73
Property Insurance,1017 Burnt Pine Ln,560.97
Property Purchase,1017 Burnt Pine Ln,28163.01
Third Party Vendors,1017 Burnt Pine Ln,15587
Utilities,1017 Burnt Pine Ln,879.09
Total for Expenses,1017 Burnt Pine Ln,103875.9
Net Operating Income,1017 Burnt Pine Ln,-103875.9
Net Income,1017 Burnt Pine Ln,-103875.9
Admin Services,1020 Legacy Cove,300
Total for Expenses,1020 Legacy Cove,300
Net Operating Income,1020 Legacy Cove,-300
Net Income,1020 Legacy Cove,-300
Sale of property,103 Kingstown Cir,125113.68
Total for Income,103 Kingstown Cir,125113.68
Gross Profit,103 Kingstown Cir,125113.68
Cleaning services,103 Kingstown Cir,290
Dumpsters,103 Kingstown Cir,1501.64
Interest Payment,103 Kingstown Cir,4500
Labor,103 Kingstown Cir,29050
Materials,103 Kingstown Cir,19761.48
Property Purchase,103 Kingstown Cir,180841.14
Third Party Vendors,103 Kingstown Cir,18081.84
Total for Expenses,103 Kingstown Cir,254026.1
Net Operating Income,103 Kingstown Cir,-128912.42000000001
Mortgage,103 Kingstown Cir,180000
Total for Other Income,103 Kingstown Cir,180000
Net Other Income,103 Kingstown Cir,180000
Net Income,103 Kingstown Cir,51087.57999999999
Sale of property,103 Mack Roper Rd.,357029.91
Total for Income,103 Mack Roper Rd.,357029.91
Gross Profit,103 Mack Roper Rd.,357029.91
Dumpsters,103 Mack Roper Rd.,4367.36
Interest Payment,103 Mack Roper Rd.,800
Labor,103 Mack Roper Rd.,38812
Materials,103 Mack Roper Rd.,40815.83
Permits,103 Mack Roper Rd.,1066
Property Insurance,103 Mack Roper Rd.,1798
Property Purchase,103 Mack Roper Rd.,211015.62
Third Party Vendors,103 Mack Roper Rd.,20704.5
Total for Expenses,103 Mack Roper Rd.,319379.31
Net Operating Income,103 Mack Roper Rd.,37650.59999999998
Net Income,103 Mack Roper Rd.,37650.59999999998
Sale of property,1037 Sharp Dr,133264.52
Total for Income,1037 Sharp Dr,133264.52
Gross Profit,1037 Sharp Dr,133264.52
Closing Costs,1037 Sharp Dr,22117.44
Dumpsters,1037 Sharp Dr,2086.04
Interest Payment,1037 Sharp Dr,2745.86
Labor,1037 Sharp Dr,27225
Materials,1037 Sharp Dr,33872.93
Third Party Vendors,1037 Sharp Dr,25783.25
Utilities,1037 Sharp Dr,653.61
Total for Expenses,1037 Sharp Dr,114484.12999999999
Net Operating Income,1037 Sharp Dr,18780.39
Net Income,1037 Sharp Dr,18780.39
Dumpsters,1048 Gene Reed Rd,1068.18
Labor,1048 Gene Reed Rd,18608
Materials,1048 Gene Reed Rd,19892.48
Property Insurance,1048 Gene Reed Rd,1404.77
Referal Fee,1048 Gene Reed Rd,15000
Third Party Vendors,1048 Gene Reed Rd,6089.08
Utilities,1048 Gene Reed Rd,753.35
Total for Expenses,1048 Gene Reed Rd,62815.86
Net Operating Income,1048 Gene Reed Rd,-62815.86
Net Income,1048 Gene Reed Rd,-62815.86
Sale of property,105 Kingstown Rd,86793.86
Total for Income,105 Kingstown Rd,86793.86
Gross Profit,105 Kingstown Rd,86793.86
Closing Costs,105 Kingstown Rd,1925.7
Dumpsters,105 Kingstown Rd,4786.14
Interest Payment,105 Kingstown Rd,9090
Labor,105 Kingstown Rd,24705
Materials,105 Kingstown Rd,30622.67
Third Party Vendors,105 Kingstown Rd,23605.71
Utilities,105 Kingstown Rd,392.71
Total for Expenses,105 Kingstown Rd,95127.93000000001
Net Operating Income,105 Kingstown Rd,-8334.070000000007
Net Income,105 Kingstown Rd,-8334.070000000007
Sale of property,106 Wildwood Dr.,180036.82
Total for Income,106 Wildwood Dr.,180036.82
Gross Profit,106 Wildwood Dr.,180036.82
Cleaning services,106 Wildwood Dr.,200
Closing Costs,106 Wildwood Dr.,1772.57
Dumpsters,106 Wildwood Dr.,4745.79
Interest Payment,106 Wildwood Dr.,9709.82
Labor,106 Wildwood Dr.,39948
Materials,106 Wildwood Dr.,28187.06
Photography,106 Wildwood Dr.,10
Property Insurance,106 Wildwood Dr.,2666.5
Third Party Vendors,106 Wildwood Dr.,50550.89
Total for Expenses,106 Wildwood Dr.,137790.63
Net Operating Income,106 Wildwood Dr.,42246.19
Net Income,106 Wildwood Dr.,42246.19
Sale of property,107 Kingstown Cir,153744.82
Total for Income,107 Kingstown Cir,153744.82
Gross Profit,107 Kingstown Cir,153744.82
Dumpsters,107 Kingstown Cir,4796.38
Interest Payment,107 Kingstown Cir,5400
Labor,107 Kingstown Cir,37929
Materials,107 Kingstown Cir,30517.78
Third Party Vendors,107 Kingstown Cir,24435.2
Utilities,107 Kingstown Cir,705.62
Total for Expenses,107 Kingstown Cir,103783.98
Net Operating Income,107 Kingstown Cir,49960.84000000001
Net Income,107 Kingstown Cir,49960.84000000001
Sale of property,108 Pine Tree Cir,98503
Total for Income,108 Pine Tree Cir,98503
Gross Profit,108 Pine Tree Cir,98503
Cleaning services,108 Pine Tree Cir,310
Closing Costs,108 Pine Tree Cir,8505
Dumpsters,108 Pine Tree Cir,1918.89
Interest Payment,108 Pine Tree Cir,8533.36
Labor,108 Pine Tree Cir,25050
Materials,108 Pine Tree Cir,20836.73
Property Purchase,108 Pine Tree Cir,163716.96
Third Party Vendors,108 Pine Tree Cir,20930.59
Utilities,108 Pine Tree Cir,82.98
Total for Expenses,108 Pine Tree Cir,249884.51
Net Operating Income,108 Pine Tree Cir,-151381.51
Mortgage,108 Pine Tree Cir,160000
Total for Other Income,108 Pine Tree Cir,160000
Net Other Income,108 Pine Tree Cir,160000
Net Income,108 Pine Tree Cir,8618.48999999999
Sale of property,108 Southview Dr,199360.57
Total for Income,108 Southview Dr,199360.57
Gross Profit,108 Southview Dr,199360.57
Cleaning services,108 Southview Dr,970
Dumpsters,108 Southview Dr,2578.89
Interest Payment,108 Southview Dr,19582.69
Labor,108 Southview Dr,50696.48
Materials,108 Southview Dr,55157.83
Property Purchase,108 Southview Dr,63024.73
Property taxes,108 Southview Dr,3237.5
Third Party Vendors,108 Southview Dr,37947.3
Utilities,108 Southview Dr,2422.33
Total for Expenses,108 Southview Dr,235617.74999999997
Net Operating Income,108 Southview Dr,-36257.179999999964
Net Income,108 Southview Dr,-36257.179999999964
Sale of property,109 Spring Glade Cir,100285.43
Total for Income,109 Spring Glade Cir,100285.43
Gross Profit,109 Spring Glade Cir,100285.43
Admin Services,109 Spring Glade Cir,300
Dumpsters,109 Spring Glade Cir,1359.6
Labor,109 Spring Glade Cir,23451
Materials,109 Spring Glade Cir,16236.2
Photography,109 Spring Glade Cir,100
Property Insurance,109 Spring Glade Cir,461.75
Third Party Vendors,109 Spring Glade Cir,9841.6
Total for Expenses,109 Spring Glade Cir,51750.15
Net Operating Income,109 Spring Glade Cir,48535.27999999999
Net Income,109 Spring Glade Cir,48535.27999999999
Sale of property,109 Westchester Dr.,181064.61
Total for Income,109 Westchester Dr.,181064.61
Gross Profit,109 Westchester Dr.,181064.61
Admin Services,109 Westchester Dr.,250
Cleaning services,109 Westchester Dr.,150
Labor,109 Westchester Dr.,150
Property Purchase,109 Westchester Dr.,131374.32
Third Party Vendors,109 Westchester Dr.,535
Total for Expenses,109 Westchester Dr.,132459.32
Net Operating Income,109 Westchester Dr.,48605.28999999998
Net Income,109 Westchester Dr.,48605.28999999998
Sale of property,1104 Tulip Cir,185816.54
Total for Income,1104 Tulip Cir,185816.54
Gross Profit,1104 Tulip Cir,185816.54
Cleaning services,1104 Tulip Cir,300
Dumpsters,1104 Tulip Cir,4338.24
Interest Payment,1104 Tulip Cir,4883.08
Labor,1104 Tulip Cir,33640
Materials,1104 Tulip Cir,29744.51
Permits,1104 Tulip Cir,1904.65
Property Purchase,1104 Tulip Cir,37072.07
Third Party Vendors,1104 Tulip Cir,28479.92
Utilities,1104 Tulip Cir,1352.23
Total for Expenses,1104 Tulip Cir,141714.69999999998
Net Operating Income,1104 Tulip Cir,44101.840000000026
Net Income,1104 Tulip Cir,44101.840000000026
Labor,1118 Hale Cir,2000
Materials,1118 Hale Cir,81.35
Property Purchase,1118 Hale Cir,25994.6
Utilities,1118 Hale Cir,399.89
Total for Expenses,1118 Hale Cir,28475.839999999997
Net Operating Income,1118 Hale Cir,-28475.839999999997
Net Income,1118 Hale Cir,-28475.839999999997
Sale of property,1118 Westridge Cir.,135800.89
Total for Income,1118 Westridge Cir.,135800.89
Gross Profit,1118 Westridge Cir.,135800.89
Admin Services,1118 Westridge Cir.,300
Closing Costs,1118 Westridge Cir.,5800.28
Dumpsters,1118 Westridge Cir.,4118.82
Interest Payment,1118 Westridge Cir.,2300.01
Labor,1118 Westridge Cir.,47174.83
Materials,1118 Westridge Cir.,42701.39
Photography,1118 Westridge Cir.,200
Property Insurance,1118 Westridge Cir.,917.5
Third Party Vendors,1118 Westridge Cir.,25469
Total for Expenses,1118 Westridge Cir.,128981.83
Net Operating Income,1118 Westridge Cir.,6819.060000000012
Mortgage,1118 Westridge Cir.,41720.69
Total for Other Income,1118 Westridge Cir.,41720.69
Net Other Income,1118 Westridge Cir.,41720.69
Net Income,1118 Westridge Cir.,48539.750000000015
Sale of property,112 Portsouth Ln,169719.12
Total for Income,112 Portsouth Ln,169719.12
Gross Profit,112 Portsouth Ln,169719.12
Cleaning services,112 Portsouth Ln,170
Dumpsters,112 Portsouth Ln,2827.67
Earnest money,112 Portsouth Ln,1024
Interest Payment,112 Portsouth Ln,4565.55
Labor,112 Portsouth Ln,27825
Materials,112 Portsouth Ln,23938.89
Property Purchase,112 Portsouth Ln,42026.27
Third Party Vendors,112 Portsouth Ln,17285.75
Utilities,112 Portsouth Ln,1852.97
Total for Expenses,112 Portsouth Ln,121516.1
Net Operating Income,112 Portsouth Ln,48203.01999999999
Net Income,112 Portsouth Ln,48203.01999999999
Sale of property,112 White Cap Cir,190727.3
Total for Income,112 White Cap Cir,190727.3
Gross Profit,112 White Cap Cir,190727.3
Business License,112 White Cap Cir,150
Cleaning services,112 White Cap Cir,450
Dumpsters,112 White Cap Cir,3885.52
Interest Payment,112 White Cap Cir,4650
Labor,112 White Cap Cir,29660
Materials,112 White Cap Cir,37628.14
Property Insurance,112 White Cap Cir,1128.15
Property Purchase,112 White Cap Cir,39353.06
Staging and Interiors,112 White Cap Cir,3600
Third Party Vendors,112 White Cap Cir,16489.23
Utilities,112 White Cap Cir,1664.73
Total for Expenses,112 White Cap Cir,138658.83000000002
Net Operating Income,112 White Cap Cir,52068.46999999997
Net Income,112 White Cap Cir,52068.46999999997
Rehab Reimbursement,1125 Greystone Crest,400000
Total for Income,1125 Greystone Crest,400000
Gross Profit,1125 Greystone Crest,400000
Design Consultation,1125 Greystone Crest,5828
Dumpsters,1125 Greystone Crest,4376.35
HOA Fees,1125 Greystone Crest,2500
Labor,1125 Greystone Crest,156270
Materials,1125 Greystone Crest,175943.35
Permits,1125 Greystone Crest,7314
Third Party Vendors,1125 Greystone Crest,107265.43
Total for Expenses,1125 Greystone Crest,459497.13
Net Operating Income,1125 Greystone Crest,-59497.130000000005
Net Income,1125 Greystone Crest,-59497.130000000005
Sale of property,1127 13th St N,72974.61
Total for Income,1127 13th St N,72974.61
Gross Profit,1127 13th St N,72974.61
Property Purchase,1127 13th St N,61066.25
Total for Expenses,1127 13th St N,61066.25
Net Operating Income,1127 13th St N,11908.36
Net Income,1127 13th St N,11908.36
Sale of property,1132 Martinwood Ln.,104446.88
Total for Income,1132 Martinwood Ln.,104446.88
Gross Profit,1132 Martinwood Ln.,104446.88
Admin Services,1132 Martinwood Ln.,300
Closing Costs,1132 Martinwood Ln.,214.5
Dumpsters,1132 Martinwood Ln.,2280.94
Interest Payment,1132 Martinwood Ln.,1666.68
Labor,1132 Martinwood Ln.,25850
Materials,1132 Martinwood Ln.,26528.78
Photography,1132 Martinwood Ln.,300
Property Insurance,1132 Martinwood Ln.,838.5
Property Purchase,1132 Martinwood Ln.,126153.53
Third Party Vendors,1132 Martinwood Ln.,16281.65
Total for Expenses,1132 Martinwood Ln.,200414.58
Net Operating Income,1132 Martinwood Ln.,-95967.69999999998
Mortgage,1132 Martinwood Ln.,125000
Total for Other Income,1132 Martinwood Ln.,125000
Net Other Income,1132 Martinwood Ln.,125000
Net Income,1132 Martinwood Ln.,29032.300000000017
Sale of property,115 Meadowgreen Rd,185549.16
Total for Income,115 Meadowgreen Rd,185549.16
Gross Profit,115 Meadowgreen Rd,185549.16
Admin Services,115 Meadowgreen Rd,600
Dumpsters,115 Meadowgreen Rd,1007.86
Labor,115 Meadowgreen Rd,10800
Materials,115 Meadowgreen Rd,5351.46
Property Purchase,115 Meadowgreen Rd,125771.53
Third Party Vendors,115 Meadowgreen Rd,8281.49
Total for Expenses,115 Meadowgreen Rd,151812.34
Net Operating Income,115 Meadowgreen Rd,33736.82000000001
Net Income,115 Meadowgreen Rd,33736.82000000001
Sale of property,1158 Holt Cir.,174191.39
Total for Income,1158 Holt Cir.,174191.39
Gross Profit,1158 Holt Cir.,174191.39
Admin Services,1158 Holt Cir.,300
Cleaning services,1158 Holt Cir.,140
Dumpsters,1158 Holt Cir.,556.97
Labor,1158 Holt Cir.,8800
Materials,1158 Holt Cir.,3859.18
Photography,1158 Holt Cir.,100
Property Purchase,1158 Holt Cir.,171397.09
Third Party Vendors,1158 Holt Cir.,2792.73
Total for Expenses,1158 Holt Cir.,187945.97
Net Operating Income,1158 Holt Cir.,-13754.579999999987
Net Income,1158 Holt Cir.,-13754.579999999987
Sale of property,116 34th St N,83185.16
Total for Income,116 34th St N,83185.16
Gross Profit,116 34th St N,83185.16
Business License,116 34th St N,368
Cleaning services,116 34th St N,210
Dumpsters,116 34th St N,4698.91
Interest Payment,116 34th St N,5500
Labor,116 34th St N,32250
Materials,116 34th St N,34316.08
Third Party Vendors,116 34th St N,18417.93
Utilities,116 34th St N,1222.7
Total for Expenses,116 34th St N,96983.62000000001
Net Operating Income,116 34th St N,-13798.460000000006
Mortgage,116 34th St N,188615.5
Total for Other Income,116 34th St N,188615.5
Net Other Income,116 34th St N,188615.5
Net Income,116 34th St N,174817.03999999998
Sale of property,117 Lynn Dr.,146273
Total for Income,117 Lynn Dr.,146273
Gross Profit,117 Lynn Dr.,146273
Dumpsters,117 Lynn Dr.,2214.5
Labor and Materials,117 Lynn Dr.,12500
Materials,117 Lynn Dr.,3533.98
Property Purchase,117 Lynn Dr.,75000
Reimbursment,117 Lynn Dr.,-2015
Third Party Vendors,117 Lynn Dr.,4025
Total for Expenses,117 Lynn Dr.,95258.48
Net Operating Income,117 Lynn Dr.,51014.520000000004
Net Income,117 Lynn Dr.,51014.520000000004
Sale of property,120 Cahaba Forest Dr,147703.72
Total for Income,120 Cahaba Forest Dr,147703.72
Gross Profit,120 Cahaba Forest Dr,147703.72
Dumpsters,120 Cahaba Forest Dr,3927.75
Earnest money,120 Cahaba Forest Dr,496.76
Interest Payment,120 Cahaba Forest Dr,4000
Labor,120 Cahaba Forest Dr,48246.25
Materials,120 Cahaba Forest Dr,41871.73
Third Party Vendors,120 Cahaba Forest Dr,17134.8
Total for Expenses,120 Cahaba Forest Dr,115677.29000000001
Net Operating Income,120 Cahaba Forest Dr,32026.429999999993
Net Income,120 Cahaba Forest Dr,32026.429999999993
Sale of property,120 Kay St.,150532.86
Total for Income,120 Kay St.,150532.86
Gross Profit,120 Kay St.,150532.86
Admin Services,120 Kay St.,250
Cleaning services,120 Kay St.,130
Dumpsters,120 Kay St.,3072.6
Labor,120 Kay St.,24800
Materials,120 Kay St.,21090.11
Permits,120 Kay St.,92
Photography,120 Kay St.,100
Property Insurance,120 Kay St.,1273
Property Purchase,120 Kay St.,26512.91
Third Party Vendors,120 Kay St.,28627.85
Total for Expenses,120 Kay St.,105948.47
Net Operating Income,120 Kay St.,44584.389999999985
Net Income,120 Kay St.,44584.389999999985
Sale of property,122 Heather Ridge Dr.,230283.18
Total for Income,122 Heather Ridge Dr.,230283.18
Gross Profit,122 Heather Ridge Dr.,230283.18
Closing Costs,122 Heather Ridge Dr.,1514.86
Dumpsters,122 Heather Ridge Dr.,2478.59
Labor,122 Heather Ridge Dr.,34010
Labor and Materials,122 Heather Ridge Dr.,4000
Materials,122 Heather Ridge Dr.,31208.54
Permits,122 Heather Ridge Dr.,2228
Property Purchase,122 Heather Ridge Dr.,205000
Third Party Vendors,122 Heather Ridge Dr.,30230.16
Utilities,122 Heather Ridge Dr.,249.22
Total for Expenses,122 Heather Ridge Dr.,310919.36999999994
Net Operating Income,122 Heather Ridge Dr.,-80636.18999999994
Mortgage,122 Heather Ridge Dr.,150000
Total for Other Income,122 Heather Ridge Dr.,150000
Net Other Income,122 Heather Ridge Dr.,150000
Net Income,122 Heather Ridge Dr.,69363.81000000006
Sale of property,1221 Rumson Dr,199177.55
Total for Income,1221 Rumson Dr,199177.55
Gross Profit,1221 Rumson Dr,199177.55
Admin Services,1221 Rumson Dr,300
Closing Costs,1221 Rumson Dr,86.33
Dumpsters,1221 Rumson Dr,1495.23
Earnest money,1221 Rumson Dr,2500
Interest Payment,1221 Rumson Dr,6800
Labor,1221 Rumson Dr,62691.56
Materials,1221 Rumson Dr,34616.61
Third Party Vendors,1221 Rumson Dr,24133.11
Total for Expenses,1221 Rumson Dr,132622.84
Net Operating Income,1221 Rumson Dr,66554.70999999999
Net Income,1221 Rumson Dr,66554.70999999999
Sale of property,1265 Pine Tree Dr,59652.12
Total for Income,1265 Pine Tree Dr,59652.12
Gross Profit,1265 Pine Tree Dr,59652.12
Admin Services,1265 Pine Tree Dr,300
Closing Costs,1265 Pine Tree Dr,1129.88
Dumpsters,1265 Pine Tree Dr,556.97
Interest Payment,1265 Pine Tree Dr,1600
Labor,1265 Pine Tree Dr,12040.81
Materials,1265 Pine Tree Dr,4605.45
Third Party Vendors,1265 Pine Tree Dr,6351.6
Total for Expenses,1265 Pine Tree Dr,26584.71
Net Operating Income,1265 Pine Tree Dr,33067.41
Net Income,1265 Pine Tree Dr,33067.41
Sale of property,128 Maple Street,144332.39
Total for Income,128 Maple Street,144332.39
Gross Profit,128 Maple Street,144332.39
Admin Services,128 Maple Street,250
Cleaning services,128 Maple Street,160
Closing Costs,128 Maple Street,1440.94
Dumpsters,128 Maple Street,3038.5
Interest Payment,128 Maple Street,5580.65
Labor,128 Maple Street,40528.12
Materials,128 Maple Street,23696.97
Photography,128 Maple Street,100
Property Insurance,128 Maple Street,991.5
Third Party Vendors,128 Maple Street,12767.85
Total for Expenses,128 Maple Street,88554.53000000001
Net Operating Income,128 Maple Street,55777.86
Net Income,128 Maple Street,55777.86
Sale of property,12938 Ann Marie Dr,142669.55
Total for Income,12938 Ann Marie Dr,142669.55
Gross Profit,12938 Ann Marie Dr,142669.55
Admin Services,12938 Ann Marie Dr,330
Cleaning services,12938 Ann Marie Dr,100
Dumpsters,12938 Ann Marie Dr,1945.54
Labor,12938 Ann Marie Dr,29190
Materials,12938 Ann Marie Dr,26383.77
Photography,12938 Ann Marie Dr,115
Property Purchase,12938 Ann Marie Dr,35869.89
Third Party Vendors,12938 Ann Marie Dr,21439
Total for Expenses,12938 Ann Marie Dr,115373.2
Net Operating Income,12938 Ann Marie Dr,27296.34999999999
Net Income,12938 Ann Marie Dr,27296.34999999999
Sale of property,13 Royal Coach Cir,218375.05
Total for Income,13 Royal Coach Cir,218375.05
Gross Profit,13 Royal Coach Cir,218375.05
Dumpsters,13 Royal Coach Cir,2064.83
Earnest money,13 Royal Coach Cir,1000
Labor,13 Royal Coach Cir,22640
Materials,13 Royal Coach Cir,19231.78
Property Purchase,13 Royal Coach Cir,75142.5
Third Party Vendors,13 Royal Coach Cir,9914.8
Utilities,13 Royal Coach Cir,1093.8
Total for Expenses,13 Royal Coach Cir,131087.71
Net Operating Income,13 Royal Coach Cir,87287.34
Net Income,13 Royal Coach Cir,87287.34
Sale of property,1308 34th St,187088.5
Total for Income,1308 34th St,187088.5
Gross Profit,1308 34th St,187088.5
Labor,1308 34th St,17250
Materials,1308 34th St,13372.51
Property Purchase,1308 34th St,103286
Third Party Vendors,1308 34th St,22274.53
Total for Expenses,1308 34th St,156183.04
Net Operating Income,1308 34th St,30905.459999999992
Net Income,1308 34th St,30905.459999999992
Cleaning services,1309 Springville Rd,200
Dumpsters,1309 Springville Rd,4258.17
Interest Payment,1309 Springville Rd,7500
Labor,1309 Springville Rd,35782
Materials,1309 Springville Rd,46090.9
Property Insurance,1309 Springville Rd,1333.08
Property Purchase,1309 Springville Rd,5086.2
Staging and Interiors,1309 Springville Rd,3700
Third Party Vendors,1309 Springville Rd,33850.85
Utilities,1309 Springville Rd,1317.15
Total for Expenses,1309 Springville Rd,139118.35
Net Operating Income,1309 Springville Rd,-139118.35
Net Income,1309 Springville Rd,-139118.35
Sale of property,131 Silver Ln,121975
Total for Income,131 Silver Ln,121975
Gross Profit,131 Silver Ln,121975
Dumpsters,131 Silver Ln,1012.75
Interest Payment,131 Silver Ln,1798.74
Labor,131 Silver Ln,17505
Materials,131 Silver Ln,16457.5
Property Purchase,131 Silver Ln,16936.69
Third Party Vendors,131 Silver Ln,10249.98
Utilities,131 Silver Ln,2133.19
Total for Expenses,131 Silver Ln,66093.84999999999
Net Operating Income,131 Silver Ln,55881.15000000001
Net Income,131 Silver Ln,55881.15000000001
Sale of property,1310 Old Cahaba Cove,88357.74
Total for Income,1310 Old Cahaba Cove,88357.74
Gross Profit,1310 Old Cahaba Cove,88357.74
Cleaning services,1310 Old Cahaba Cove,1553.6
Dumpsters,1310 Old Cahaba Cove,1331.27
Interest Payment,1310 Old Cahaba Cove,6066.67
Labor,1310 Old Cahaba Cove,15404.96
Materials,1310 Old Cahaba Cove,13589.41
Property Purchase,1310 Old Cahaba Cove,175000
Third Party Vendors,1310 Old Cahaba Cove,15101
Utilities,1310 Old Cahaba Cove,1276.57
Total for Expenses,1310 Old Cahaba Cove,229323.48
Net Operating Income,1310 Old Cahaba Cove,-140965.74
Mortgage,1310 Old Cahaba Cove,200081.84
Total for Other Income,1310 Old Cahaba Cove,200081.84
Net Other Income,1310 Old Cahaba Cove,200081.84
Net Income,1310 Old Cahaba Cove,59116.100000000006
Sale of property,1313 McCoy St,104919.43
Total for Income,1313 McCoy St,104919.43
Gross Profit,1313 McCoy St,104919.43
Cleaning services,1313 McCoy St,275
Dumpsters,1313 McCoy St,2478.57
Labor,1313 McCoy St,25720
Materials,1313 McCoy St,23379.36
Property Purchase,1313 McCoy St,1877.62
Third Party Vendors,1313 McCoy St,11593.79
Utilities,1313 McCoy St,1251.9
Total for Expenses,1313 McCoy St,66576.24
Net Operating Income,1313 McCoy St,38343.18999999999
Net Income,1313 McCoy St,38343.18999999999
Sale of property,132 Rosebud Rd,180450.81
Total for Income,132 Rosebud Rd,180450.81
Gross Profit,132 Rosebud Rd,180450.81
Dumpsters,132 Rosebud Rd,3415.84
Labor,132 Rosebud Rd,39920
Materials,132 Rosebud Rd,46595.15
Property Purchase,132 Rosebud Rd,46218.23
Third Party Vendors,132 Rosebud Rd,23051.14
Utilities,132 Rosebud Rd,1229.15
Total for Expenses,132 Rosebud Rd,160429.50999999998
Net Operating Income,132 Rosebud Rd,20021.300000000017
Net Income,132 Rosebud Rd,20021.300000000017
Sale of property,1324 Bardswood Terrace,145474.4
Total for Income,1324 Bardswood Terrace,145474.4
Gross Profit,1324 Bardswood Terrace,145474.4
Dumpsters,1324 Bardswood Terrace,4212.25
Interest Payment,1324 Bardswood Terrace,4000
Labor,1324 Bardswood Terrace,450
Materials,1324 Bardswood Terrace,52269.92
Property Insurance,1324 Bardswood Terrace,2149
Third Party Vendors,1324 Bardswood Terrace,19563
Utilities,1324 Bardswood Terrace,439.71
Total for Expenses,1324 Bardswood Terrace,83083.88
Net Operating Income,1324 Bardswood Terrace,62390.51999999999
Net Income,1324 Bardswood Terrace,62390.51999999999
Sale of property,1337 Wilshire Dr.,159217.8
Total for Income,1337 Wilshire Dr.,159217.8
