project_uuid,workspace_uuid,created_at,updated_at,name,full_address,address_1,address_2,city,state,postal_code,country,lat,lng,investment_strategy,stage,type,style,square_feet,beds,baths,year_built,featured_image_url,permissions_json
98fc757e-258e-4b4d-a188-16daafa5a0f2,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-05-13T21:13:48Z,2025-10-29T13:47:25Z,2173 Chapel Hill Road,"2173 Chapel Hill Road, Birmingham, AL 35216",2173 Chapel Hill Road,,Birmingham,AL,35216,US,33.398053,-86.7940083,fix_and_flip,completed_portfolio,Single Family,,1075,3,1,1966,https://tools.flipperforce.com/uploads/projects/94825/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
077d022b-c5a3-41f3-87ce-34dadff36773,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-05-07T20:07:54Z,2025-10-29T13:47:15Z,5150 Hickory Drive Northeast,"5150 Hickory Drive Northeast, Pinson, AL 35126",5150 Hickory Drive Northeast,,Pinson,AL,35126,US,33.6586638,-86.6518114,fix_and_flip,completed_portfolio,Single Family,,1098,3,1,1972,https://tools.flipperforce.com/uploads/projects/94512/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
ff204aae-70ae-4004-b9a1-a11fd9b86f59,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-03-19T21:07:22Z,2025-10-29T13:47:01Z,4358 Oak Street,"4358 Oak Street, Pinson, AL 35126",4358 Oak Street,,Pinson,AL,35126,US,33.6837791,-86.6767394,fix_and_flip,completed_portfolio,Single Family,,1400,3,2,1973,https://tools.flipperforce.com/uploads/projects/91478/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
508cad90-c28a-4434-947d-4ea199ab3225,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-02-03T15:01:31Z,2025-10-29T13:46:42Z,163 Sunrise Drive,"163 Sunrise Drive, Odenville, AL 35120",163 Sunrise Drive,,Odenville,AL,35120,US,33.6768596,-86.4686607,fix_and_flip,completed_portfolio,Parcel with Improvements,,1225,3,3,2006,https://tools.flipperforce.com/uploads/projects/88501/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
008ff21d-7701-47e7-bbba-d8e65a67feec,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-01-23T16:49:25Z,2025-10-29T13:46:31Z,909 Winchester Circle,"909 Winchester Circle, Birmingham, AL 35235",909 Winchester Circle,,Birmingham,AL,35235,US,33.6031122,-86.6825636,fix_and_flip,completed_portfolio,Single Family,,1676,3,2,1973,https://tools.flipperforce.com/uploads/projects/87944/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
2d4f4c99-e115-49df-a982-2f1ce3f4f473,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-01-03T20:03:47Z,2025-10-29T13:46:23Z,1409 High Point Terrace,"1409 High Point Terrace, Birmingham, AL 35235",1409 High Point Terrace,,Birmingham,AL,35235,US,33.6129305,-86.6633751,fix_and_flip,completed_portfolio,Single Family,,1444,3,2,1970,https://tools.flipperforce.com/uploads/projects/86864/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
2d3985da-312f-46cf-972f-4aba81e4da38,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-06-05T14:08:59Z,2025-10-29T13:44:37Z,5445 Notting Hill Road,"5445 Notting Hill Road, Birmingham, AL 35235",5445 Notting Hill Road,,Birmingham,AL,35235,US,33.6457499,-86.6369214,fix_and_flip,completed_portfolio,townhouse,TownHouse,544,4,1,1988,https://tools.flipperforce.com/uploads/projects/96088/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
bac98a39-a322-4c07-8e2d-11ea458092d5,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-05-08T14:10:45Z,2025-10-02T14:48:23Z,2232 Garland Drive,"2232 Garland Drive, Vestavia Hills, AL 35216",2232 Garland Drive,,Vestavia Hills,AL,35216,US,33.4352871,-86.7785787,fix_and_flip,completed_portfolio,Single Family,,1938,4,2,1969,https://tools.flipperforce.com/uploads/projects/94530/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
8bb2e4ba-f0f8-4380-9877-7ca15e5816a7,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-02-21T17:01:31Z,2025-09-10T18:31:00Z,5557 Dry Creek Road,"5557 Dry Creek Road, Cropwell, AL 35054",5557 Dry Creek Road,,Cropwell,AL,35054,US,33.5586849,-86.3232743,fix_and_flip,active_listing,,,,,,,https://tools.flipperforce.com/uploads/projects/89817/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
081e4c4e-f120-4e0d-a5c2-870682ca02d5,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-03-03T21:32:28Z,2025-08-22T20:26:19Z,7104 Claymont Drive,"7104 Claymont Drive, Pinson, AL 35126",7104 Claymont Drive,,Pinson,AL,35126,US,33.710344,-86.612556,fix_and_flip,completed_portfolio,Single Family,,1523,3,2,1978,https://tools.flipperforce.com/uploads/projects/90543/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
